id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_mangga,satuan,tahun
102,32,JAWA BARAT,3273,KOTA BANDUNG,126,KUINTAL,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,6962,KUINTAL,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,8550,KUINTAL,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,793,KUINTAL,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,74,KUINTAL,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1000,KUINTAL,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,651,KUINTAL,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,28497,KUINTAL,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,96090,KUINTAL,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,156568,KUINTAL,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,45407,KUINTAL,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,123301,KUINTAL,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19683,KUINTAL,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,14202,KUINTAL,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,298218,KUINTAL,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,391522,KUINTAL,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,600638,KUINTAL,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,283845,KUINTAL,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,774736,KUINTAL,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,95475,KUINTAL,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,32063,KUINTAL,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,211346,KUINTAL,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,27440,KUINTAL,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15118,KUINTAL,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,334,KUINTAL,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,11153,KUINTAL,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,185,KUINTAL,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,85,KUINTAL,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,4618,KUINTAL,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,13204,KUINTAL,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,1529,KUINTAL,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,39,KUINTAL,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3798,KUINTAL,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,5478,KUINTAL,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,35936,KUINTAL,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,99003,KUINTAL,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,107210,KUINTAL,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,67585,KUINTAL,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,111336,KUINTAL,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,32390,KUINTAL,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,57851,KUINTAL,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,348506,KUINTAL,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,554767,KUINTAL,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,447567,KUINTAL,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,735821,KUINTAL,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,941147,KUINTAL,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,199703,KUINTAL,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,30268,KUINTAL,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,146163,KUINTAL,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,20580,KUINTAL,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14238,KUINTAL,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10059,KUINTAL,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,11412,KUINTAL,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,122,KUINTAL,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,174,KUINTAL,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,52563,KUINTAL,2018
